datetime,solar,clear_sky_solar,wind50,cloud,temp,solar_ratio,solar_effective,solar_eff_norm,wind_norm,clear_ratio_norm,renewable_index
2025-07-26 19:00:00,3.65,3.67,3.62,3.01,24.42,0.9945504087193461,3.540135,0.0036444224367241517,0.19224641529474246,0.9356315456435554,0.2466224449354959
2025-07-27 05:00:00,65.25,74.9,2.85,44.79,22.7,0.8711615487316421,36.024525000000004,0.037085757233080135,0.15135422198619228,0.8195524522428007,0.2278596356609579
2025-07-27 06:00:00,214.45,234.7,1.41,31.18,24.49,0.9137196420962931,147.58449,0.1519321231163476,0.07488050982474774,0.8595893315455648,0.2703480808147111
2025-07-27 07:00:00,398.12,417.02,0.36,18.59,26.66,0.9546784326890797,324.10949200000005,0.3336573053287706,0.019118428040361127,0.898121653501338,0.35218851177676125
2025-07-27 08:00:00,586.65,588.2,2.01,1.5,27.98,0.9973648418905133,577.85025,0.594872911955804,0.10674455655868295,0.9382792469917862,0.5171156723438641
2025-07-27 09:00:00,725.88,734.7,3.18,9.67,29.06,0.9879951000408329,655.687404,0.6750030398883131,0.16887944768985663,0.9294645846355704,0.5740582711782276
2025-07-27 10:00:00,840.28,842.72,3.91,3.01,29.93,0.9971046136320485,814.987572,0.8389959685289234,0.2076473712161445,0.9380344350993443,0.6693990826491739
2025-07-27 11:00:00,883.7,895.28,4.3,9.27,30.66,0.9870654990617461,801.78101,0.8254003596425988,0.22835900159320235,0.9285900548045337,0.6669258912601669
2025-07-27 12:00:00,883.08,893.58,4.45,6.64,31.16,0.988249513194118,824.443488,0.8487304426182389,0.23632501327668617,0.929703925919585,0.6812035104760423
2025-07-27 13:00:00,844.85,845.58,4.42,0.75,31.46,0.9991366872442583,838.513625,0.863215066218916,0.2347318109399894,0.9399461252037217,0.6900163014321992
2025-07-27 14:00:00,743.6,745.42,4.18,1.5,31.51,0.997558423439135,732.446,0.7540228370073058,0.2219861922464153,0.9384613604391863,0.6312995482654147
2025-07-27 15:00:00,601.4,603.2,3.97,1.5,31.4,0.9970159151193633,592.379,0.6098296586554514,0.210833775889538,0.9379509912378844,0.555755160342164
